T(1) = 1, divs 1, max divs 1
T(2) = 3, divs 2, max divs 2
T(3) = 6, divs 4, max divs 4
T(4) = 10, divs 4, max divs 4
T(5) = 15, divs 4, max divs 4
T(6) = 21, divs 4, max divs 4
T(7) = 28, divs 6, max divs 6
T(8) = 36, divs 9, max divs 9
T(9) = 45, divs 6, max divs 9
T(10) = 55, divs 4, max divs 9
T(11) = 66, divs 8, max divs 9
T(12) = 78, divs 8, max divs 9
T(13) = 91, divs 4, max divs 9
T(14) = 105, divs 8, max divs 9
T(15) = 120, divs 16, max divs 16
T(16) = 136, divs 8, max divs 16
T(17) = 153, divs 6, max divs 16
T(18) = 171, divs 6, max divs 16
T(19) = 190, divs 8, max divs 16
T(20) = 210, divs 16, max divs 16
T(21) = 231, divs 8, max divs 16
T(22) = 253, divs 4, max divs 16
T(23) = 276, divs 12, max divs 16
T(24) = 300, divs 18, max divs 18
T(25) = 325, divs 6, max divs 18
T(26) = 351, divs 8, max divs 18
T(27) = 378, divs 16, max divs 18
T(28) = 406, divs 8, max divs 18
T(29) = 435, divs 8, max divs 18
T(30) = 465, divs 8, max divs 18
T(31) = 496, divs 10, max divs 18
T(32) = 528, divs 20, max divs 20
T(33) = 561, divs 8, max divs 20
T(34) = 595, divs 8, max divs 20
T(35) = 630, divs 24, max divs 24
T(36) = 666, divs 12, max divs 24
T(37) = 703, divs 4, max divs 24
T(38) = 741, divs 8, max divs 24
T(39) = 780, divs 24, max divs 24
T(40) = 820, divs 12, max divs 24
T(41) = 861, divs 8, max divs 24
T(42) = 903, divs 8, max divs 24
T(43) = 946, divs 8, max divs 24
T(44) = 990, divs 24, max divs 24
T(45) = 1035, divs 12, max divs 24
T(46) = 1081, divs 4, max divs 24
T(47) = 1128, divs 16, max divs 24
T(48) = 1176, divs 24, max divs 24
T(49) = 1225, divs 9, max divs 24
T(50) = 1275, divs 12, max divs 24
T(51) = 1326, divs 16, max divs 24
T(52) = 1378, divs 8, max divs 24
T(53) = 1431, divs 8, max divs 24
T(54) = 1485, divs 16, max divs 24
T(55) = 1540, divs 24, max divs 24
T(56) = 1596, divs 24, max divs 24
T(57) = 1653, divs 8, max divs 24
T(58) = 1711, divs 4, max divs 24
T(59) = 1770, divs 16, max divs 24
T(60) = 1830, divs 16, max divs 24
T(61) = 1891, divs 4, max divs 24
T(62) = 1953, divs 12, max divs 24
T(63) = 2016, divs 36, max divs 36
T(64) = 2080, divs 24, max divs 36
T(65) = 2145, divs 16, max divs 36
T(66) = 2211, divs 8, max divs 36
T(67) = 2278, divs 8, max divs 36
T(68) = 2346, divs 16, max divs 36
T(69) = 2415, divs 16, max divs 36
T(70) = 2485, divs 8, max divs 36
T(71) = 2556, divs 18, max divs 36
T(72) = 2628, divs 18, max divs 36
T(73) = 2701, divs 4, max divs 36
T(74) = 2775, divs 12, max divs 36
T(75) = 2850, divs 24, max divs 36
T(76) = 2926, divs 16, max divs 36
T(77) = 3003, divs 16, max divs 36
T(78) = 3081, divs 8, max divs 36
T(79) = 3160, divs 16, max divs 36
T(80) = 3240, divs 40, max divs 40
T(81) = 3321, divs 10, max divs 40
T(82) = 3403, divs 4, max divs 40
T(83) = 3486, divs 16, max divs 40
T(84) = 3570, divs 32, max divs 40
T(85) = 3655, divs 8, max divs 40
T(86) = 3741, divs 8, max divs 40
T(87) = 3828, divs 24, max divs 40
T(88) = 3916, divs 12, max divs 40
T(89) = 4005, divs 12, max divs 40
T(90) = 4095, divs 24, max divs 40
T(91) = 4186, divs 16, max divs 40
T(92) = 4278, divs 16, max divs 40
T(93) = 4371, divs 8, max divs 40
T(94) = 4465, divs 8, max divs 40
T(95) = 4560, divs 40, max divs 40
T(96) = 4656, divs 20, max divs 40
T(97) = 4753, divs 6, max divs 40
T(98) = 4851, divs 18, max divs 40
T(99) = 4950, divs 36, max divs 40
T(100) = 5050, divs 12, max divs 40
T(101) = 5151, divs 8, max divs 40
T(102) = 5253, divs 8, max divs 40
T(103) = 5356, divs 12, max divs 40
T(104) = 5460, divs 48, max divs 48
T(105) = 5565, divs 16, max divs 48
T(106) = 5671, divs 4, max divs 48
T(107) = 5778, divs 16, max divs 48
T(108) = 5886, divs 16, max divs 48
T(109) = 5995, divs 8, max divs 48
T(110) = 6105, divs 16, max divs 48
T(111) = 6216, divs 32, max divs 48
T(112) = 6328, divs 16, max divs 48
T(113) = 6441, divs 8, max divs 48
T(114) = 6555, divs 16, max divs 48
T(115) = 6670, divs 16, max divs 48
T(116) = 6786, divs 24, max divs 48
T(117) = 6903, divs 12, max divs 48
T(118) = 7021, divs 8, max divs 48
T(119) = 7140, divs 48, max divs 48
T(120) = 7260, divs 36, max divs 48
T(121) = 7381, divs 6, max divs 48
T(122) = 7503, divs 8, max divs 48
T(123) = 7626, divs 16, max divs 48
T(124) = 7750, divs 16, max divs 48
T(125) = 7875, divs 24, max divs 48
T(126) = 8001, divs 12, max divs 48
T(127) = 8128, divs 14, max divs 48
